kode_klasifikasi;jenis_klasifikasi;jenis_arsip;waktu_aktif_num;waktu_aktif_ket;waktu_inaktif_num;waktu_inaktif_ket;nasib_akhir;nasib_akhir_ket
KI 03.01.04;Substantif;"Penarikan (Atas Permintaan Sendiri atau
Kekurangan Formalitas Tidak Terpenuhi)
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 03.01.05;Substantif;Pemberitahuan Penolakan;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 03.01.06;Substantif;Ralat/Perbaikan Permohonan dan Sertifikat;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 03.01.07;Substantif;Pengalihan Hak;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 03.01.08;Substantif;Perubahan Nama dan Alamat;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 03.01.09;Substantif;Penghapusan;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 03.01.10;Substantif;Pembatalan;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 03.02;Substantif;Sertifikat/Kutipan;3;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 03.02.01;Substantif;Pemberitahuan Koreksi sertifikat DTLST;;;;;;
KI 03.02.02;Substantif;"Pemberitahuan Kekurangan Persyaratan Koreksi
Sertifikat DTLST
";;;;;;
KI 03.02.03;Substantif;Petikan Daftar Umum DTLST;;;;;;
KI 03.02.04;Substantif;"Pemberitahuan Kekurangan Persyaratan Petikan
Daftar Umum DTLST
";;;;;;
KI 03.03;Substantif;Bukti Prioritas;3;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 03.04;Substantif;Keterangan Status Permohonan Pendaftaran;1;;1;;Musnah;
KI 03.05;Substantif;Permohonan Petikan Resmi;1;;1;;Musnah;
KI 03.06;Substantif;Lisensi;2;;3;;Permanen;
KI 03.06.01;Substantif;Pemberitahuan Pencatatan Lisensi DTLST;;;;;;
KI 03.06.02;Substantif;"Kekurangan Persyaratan Pencatatan Lisensi
DTLST
";;;;;;
KI 03.06.03;Substantif;Pemberitahuan Pencatatan Lisensi Paten;;;;;;
KI 03.06.04;Substantif;"Kekurangan Persyaratan Pencatatan Lisensi Paten
";;;;;;
KI 03.07;Substantif;Pelanggaran/Penegakan Hukum;;;;;;
KI 03.08;Substantif;Pendapat Hukum/Saksi Ahli;;;;;;
KI 04.01;Substantif;Pencatatan Lisensi Rahasia Dagang;;;;;;
KI 04.01.01;Substantif;"Pemberitahuan Pencatatan Lisensi Rahasia
Dagang
";;;;;;
KI 04.01.02;Substantif;"Kekurangan Persyaratan Pencatatan Lisensi Rahasia Dagang
";;;;;;
KI 04.02;Substantif;Pengalihan Hak;2;Tahun setelah kerahasiaannya tidak terjaga;3;;Musnah;
KI 04.03;Substantif;Pendapat Hukum/Saksi Ahli;2;Tahun setelah memiliki kekuatan hukum;3;;Musnah;
KI 05.01;Substantif;Proses Penyelesaian Permohonan Pendaftaran;2;Tahun setelah masa perlindungan berakhir;3;;"Musnah 
";kecuali Jasa Renik disimpan selama 35 tahun
KI 05.01.01;Substantif;"Pemeriksaan Administrasi/Formalitas : - Pemberitahuan kekurangan Persyaratan
formalitas Permohonan Paten
- Pemberitahuan Persyaratan formalitas
Permohonan Paten telah dipenuhi
- Pemberitahuan Perubahan Data Permohonan
Paten telah diproses
- Pemberitahuan Perubahan data Permohonan
Paten belum dapat diproses
- Surat tanggapan permohonan Penarikan
Kembali Oleh permohon
- Dianggap ditarik kembali
- Pencabutan Surat dianggap ditarik kembali
- Tanggapan atas surat permohonan peninjauan
kembali
- Pemberitahuan Kekurangan Persyaratan
Formalitas Permohonan PCT-ID
- Pemberitahuan Persyaratan Formalitas PCT-ID
Telah Dipenuhi
- Pemberitahuan Kekurangan Persyaratan
Formalitas Permohonan ASPEC
- Pemberitahuan Persyaratan Formalitas ASPEC
Telah Dipenuhi
- Pemberitahuan Kekurangan Persyaratan
Formalitas Permohonan PPH
- Pemberitahuan Persyaratan Formalitas PPH
Telah Dipenuhi
- Pemberitahuan permohonan paten belum
dapat diproses
- Pencatatan pengalihan permohonan paten
";2;Tahun setelah masa perlindungan berakhir;3;;"Musnah 
";kecuali Jasa Renik disimpan selama 35 tahun
KI 05.01.02;Substantif;Perbaikan Data Permohonan;2;Tahun setelah masa perlindungan berakhir;3;;"Musnah
";"kecuali Jasa Renik disimpan selama 35 tahun
"
KI 05.01.03;Substantif;Klasifikasi;2;Tahun setelah masa perlindungan berakhir;3;;"Musnah
";"kecuali Jasa Renik disimpan selama 35 tahun
"
KI 05.01.04;Substantif;"Publikasi : - Pemberitahuan keberatan atas permohonan paten, - Pemberitahuan permohonan paten telah
diumumkan
- Pemberitahuan permohonan paten tidak
diumumkan

";2;Tahun setelah masa perlindungan berakhir;3;;"Musnah
";"kecuali Jasa Renik disimpan selama 35 tahun
"
KI 05.01.05;Substantif;Oposisi;2;Tahun setelah masa perlindungan berakhir;3;;"Musnah
";"kecuali Jasa Renik disimpan selama 35 tahun
"
KI 05.01.06;Substantif;Penarikan Kembali;2;Tahun setelah masa perlindungan berakhir;3;;"Musnah
";"kecuali Jasa Renik disimpan selama 35 tahun
"
KI 05.01.07;Substantif;Pemberitahuan Penolakan;2;Tahun setelah masa perlindungan berakhir;3;;"Musnah
";"kecuali Jasa Renik disimpan selama 35 tahun
"
KI 05.01.08;Substantif;"Pemeriksaan Substantif : - Pemberitahuan Hasil Pemeriksaan Substantif
Tahap Awal
- Pemberitahuan Hasil Pemeriksaan Substantif
Tahap Lanjut
- Penarikan Kembali Substantif
- Dianggap Ditarik Kembali Substantif
- Pemberitahuan Dapat Diberi Paten
- Pemberitahuan Dapat Diberi Paten Sederhana
- Pemberitahuan Penolakan Paten
- Pemberitahuan Penolakan Paten Sederhana
- Keputusan Peninjauan
";2;Tahun setelah masa perlindungan berakhir;3;;"Musnah
";"kecuali Jasa Renik disimpan selama 35 tahun
"
KI 05.01.09;Substantif;Ralat/Perbaikan;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 05.01.10;Substantif;Pengalihan Hak;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 05.01.11;Substantif;Perubahan Nama dan Alamat;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 05.01.12;Substantif;Penghapusan;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 05.01.13;Substantif;Pembatalan;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 05.02;Substantif;Sertifikat;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 05.02.01;Substantif;Pemberitahuan Koreksi sertifikat Paten;;;;;;
KI 05.02.02;Substantif;"Pemberitahuan Kekurangan Persyaratan Koreksi
Sertifikat Paten
";;;;;;
KI 05.02.03;Substantif;"Pemberitahuan Pengambilan Sertifikat/Jasa
Cetak Sertifikat Paten
";;;;;;
KI 05.03;Substantif;Bukti Prioritas;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.04;Substantif;Pemeliharaan Paten;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.04.01;Substantif;"Pemberitahuan Pemenuhan Kewajiban
Pembayaran Biaya Pemeliharaan
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.04.02;Substantif;Pemberitahuan Paten Dihapuskan (Ada Hutang);2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.04.03;Substantif;"Pemberitahuan Paten Dihapuskan (Tidak Ada Hutang)
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.04.04;Substantif;"Pemberitahuan Penghapusan Atas Permintaan
Pemegang Paten (PAPS) Ada Hutang
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.04.05;Substantif;"Pemberitahuan Penghapusan Atas Permintaan Pemegang Paten (PAPS) Tidak Ada Hutang
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.04.06;Substantif;"Pemberitahuan Kekurangan Persyaratan Penghapusan Atas Permintaan Pemegang Paten
(PAPS) 6
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.04.07;Substantif;Pemberitahuan Ralat PAPS dengan Piutang;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.04.08;Substantif;Pemberitahuan Ralat PAPS dengan tanpa Piutang;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.04.09;Substantif;"Pemberitahuan Penundaan Pembayaran Pemeliharaan Paten diterima
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.04.10;Substantif;"Pemberitahuan Penundaan Pembayaran Pemeliharaan Paten ditolak
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.04.11;Substantif;Pemberitahuan Penghapusan Sebagian Klaim;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.04.12;Substantif;Pemberitahuan Pencabutan Surat;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.04.13;Substantif;Pemeliharaan Lainnya;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.04.14;Substantif;"Permohonan penundaan pelaksanaan paten pasal 20
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.05;Substantif;Penelusuran;2;;2;;Musnah;
KI 05.05.01;Substantif;Penelusuran subjek matter terakses;2;;2;;Musnah;
KI 05.05.02;Substantif;Penelusuran subjek matter tidak dapat terakses;2;;2;;Musnah;
KI 05.05.03;Substantif;Penelusuran paten family terakses;2;;2;;Musnah;
KI 05.05.04;Substantif;Penelusuran paten family tidak dapat terakses;2;;2;;Musnah;
KI 05.05.05;Substantif;"Penelusuran  senyawa  (original,  garam,  kristal)
terakses
";2;;2;;Musnah;
KI 05.05.06;Substantif;"Penelusuran  senyawa  (original,  garam,  kristal)
tidak dapat terakses


";2;;2;;Musnah;
KI 05.05.07;Substantif;Penelusuran senyawa kombinasi terakses;2;;2;;Musnah;
KI 05.05.08;Substantif;"Penelusuran senyawa kombinasi tidak dapat
terakses
";2;;2;;Musnah;
KI 05.05.09;Substantif;Penelusuran komposisi/formulasi terakses;2;;2;;Musnah;
KI 05.05.10;Substantif;"Penelusuran komposisi/formulasi tidak dapat terakses
";2;;2;;Musnah;
KI 05.06;Substantif;Keterangan Status Permohonan Pendaftaran;1;;1;;Musnah;
KI 05.07;Substantif;Petikan Daftar Umum Paten;1;;1;;Musnah;
KI 05.07.01;Substantif;Permohonan Petikan Daftar Umum Paten;1;;1;;Musnah;
KI 05.07.02;Substantif;"Kekurangan Persyaratan Petikan Resmi Daftar
Umum Paten
";1;;1;;Musnah;
KI 05.07.03;Substantif;Salinan Dokumen Paten;1;;1;;Musnah;
KI 05.07.04;Substantif;Permohonan Salinan Dokumen Paten;1;;1;;Musnah;
KI 05.07.05;Substantif;Kekurangan Persyaratan Salinan Dokumen Paten;1;;1;;Musnah;
KI 05.08;Substantif;Lisensi;2;;3;;Musnah;
KI 05.08.01;Substantif;Pemberitahuan Pencatatan Lisensi Paten;2;;3;;Musnah;
KI 05.08.02;Substantif;"Kekurangan Persyaratan Pencatatan Lisensi
Paten
";2;;3;;Musnah;
KI 05.09;Substantif;Pelanggaran/Penegakan Hukum di Bidang Paten;"2 
";"Tahun setelah
memiliki
kekuatan hukum
tetap";3;;Musnah;
KI 05.10;Substantif;Pendapat Hukum/Saksi Ahli;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.11;Substantif;Komisi Banding;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.11.01;Substantif;Pemberitahuan Kekurangan Kelengkapan;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.11.02;Substantif;Pemanggilan Para Pihak (Hearing);2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.11.03;Substantif;Surat penyampaian salinan;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.11.04;Substantif;Putusan;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 05.12;Substantif;Pengalihan;;;;;;
KI 05.12.01;Substantif;Pencatatan Pengalihan Paten;;;;;;
KI 05.12.02;Substantif;"Kekurangan Persyaratan Pencatatan Pengalihan
Paten
";;;;;;
KI 05.12.03;Substantif;Pengalihan Hak Tidak Dapat Diterima/Diproses;;;;;;
KI 05.12.04;Substantif;Perubahan Data Bibliografi;;;;;;
KI 05.12.05;Substantif;"Kekurangan Persyaratan Perubahan Data
Bibliografi
";;;;;;
KI 05.12.06;Substantif;"Perubahan Data Bibliografi Tidak Dapat
Diterima/Diproses
";;;;;;
KI 05.13;Substantif;Perbaikan;;;;;;
KI 05.13.01;Substantif;Perbaikan Sertifikat Paten;;;;;;
KI 05.13.02;Substantif;Kekurangan Persyaratan Perbaikan Sertifikat Paten;;;;;;
KI 05.13.03;Substantif;Perbaikan Sertifikat DTLST;;;;;;
KI 05.13.04;Substantif;"Kekurangan Persyaratan Perbaikan Sertifikat
DTLST
";;;;;;
KI 06.01;Substantif;Proses Penyelesaian Permohonan Pendaftaran;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.01;Substantif;Pemeriksaan Administrasi/Formalitas;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.02;Substantif;Perbaikan Data Permohonan;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.03;Substantif;Dianggap Ditarik Kembali Formalitas;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.04;Substantif;Surat Eksekusi Formalitas;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.05;Substantif;Klasifikasi;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.06;Substantif;Publikasi/Pengumuman/Berita Resmi Merek;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.07;Substantif;Keberatan/Oposisi;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.08;Substantif;Penarikan Kembali;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.09;Substantif;Pemeriksaan Substantif;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.10;Substantif;Pemberitahuan Usul Penolakan;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.11;Substantif;Pemberitahuan Usul Daftar;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.12;Substantif;Pemberitahuan Penilaian Keberatan (UU Lama);2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.13;Substantif;"Pemberitahuan Pemeriksaan Keberatan (UU
Baru)
";2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.14;Substantif;Pemberitahuan Tanggapan Diterima;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.15;Substantif;Pemberitahuan Penolakan Definitif;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.16;Substantif;Ralat/Perbaikan;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.17;Substantif;Pengalihan Hak;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.18;Substantif;Perubahan Nama dan Alamat;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.19;Substantif;Penghapusan;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.01.20;Substantif;Pembatalan;2;Tahun setelah masa perlindungan berakhir /tidak diperpanjang masa perlindungan merek;3;;Musnah;
KI 06.02;Substantif;Sertifikat/Kutipan;2; Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 06.02.01;Substantif;Legalisir Sertifikat untuk Pengadilan;2; Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 06.03;Substantif;Bukti Prioritas;2; Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 06.04;Substantif;Keterangan Status Permohonan Pendaftaran;1;;1;;Musnah;
KI 06.05;Substantif;Permohonan Petikan Resmi;1;;1;;Permanen;
KI 06.06;Substantif;Lisensi;2;;3;;Permanen;
KI 06.07;Substantif;Penyelesaian/Pertimbangan Hukum atas Merek;2;;3;;Permanen;
KI 06.07.01;Substantif;Surat Tugas Persidangan;2;;3;;Permanen;
KI 06.07.02;Substantif;"Kekurangan Persyaratan Pembatalan Merek/ Pelaksanaan Putusan Mahkamah Agung
";2;;3;;Permanen;
KI 06.07.03;Substantif;Pembatalan Merek;2;;3;;Permanen;
KI 06.07.04;Substantif;"Penjelasan Terkait Permohonan Klarifikasi Status Hukum Merek/Pengaktifan Kembali
";2;;3;;Permanen;
KI 06.07.05;Substantif;"Kekurangan Persyaratan Penghapusan Atas Prakarsa Menteri
";2;;3;;Permanen;
KI 06.07.06;Substantif;Penghapusan atas Prakarsa Menteri;2;;3;;Permanen;
KI 06.08;Substantif;Pendapat Hukum/Tanggapan/Analisa Hukum;2;;3;;Permanen;
KI 06.08.01;Substantif;Penjelasan Hukum atas Merek;2;;3;;Permanen;
KI 06.08.02;Substantif;Surat Perintah Saksi Ahli;2;;3;;Permanen;
KI 06.09;Substantif;Perpanjangan Merek;"2 
";"Tahun setelah
masa
perlindungan
berakhir /tidak
diperpanjang
masa
perlindungan
merk";3;;Musnah;
KI 06.09.01;Substantif;"Pemberitahuan Perpanjangan Merek Tidak Dapat Dilaksanakan
";"2 
";"Tahun setelah
masa
perlindungan
berakhir /tidak
diperpanjang
masa
perlindungan
merk";3;;Musnah;
KI 06.09.02;Substantif;Surat Keterangan Perpanjangan;"2 
";"Tahun setelah
masa
perlindungan
berakhir /tidak
diperpanjang
masa
perlindungan
merk";3;;Musnah;
KI 06.09.03;Substantif;"Surat  Penarikan  Pemberitahuan  Perpanjangan Merek
";2;"Tahun setelah
masa
perlindungan
berakhir /tidak
diperpanjang
masa
perlindungan
merk
";3;;Musnah;
KI 06.10;Substantif;Monitoring Merek Terdaftar;2;;3;;Musnah;
KI 06.11;Substantif;Keterangan Tertulis;2;;2;;Musnah;
KI 06.12;Substantif;Komisi Banding Merek;2;" Tahun setelah
masa
perlindungan
berakhir";3;;Musnah;
KI 06.13;Substantif;Banding terhadap Penolakan Perpanjangan Merek;;;;;;
KI 06.14;Substantif;Penghapusan Merek Terdaftar atas Prakarsa Menteri;;;;;;
KI 06.15;Substantif;Pengadilan;;;;;;
KI 06.16;Substantif;Keputusan Ketua Komisi Banding Merek;;;;;;
KI 06.16.01;Substantif;Penunjukan Majelis Banding Merek;;;;;;
KI 06.16.02;Substantif;Penunjukan Tim Pemeriksa Penghapusan Merek Terdaftar;;;;;;
KI 06.17;Substantif;Banding Indikasi Geografis;;;;;;
KI 06.17.01;Substantif;"Pelanggaran/Tanggapan/Analisa Hukum Indikasi
Geografis
";;;;;;
KI 06.17.02;Substantif;Pendapat Hukum/Saksi Ahli Indikasi Geografis;;;;;;
KI 06.18;Substantif;Pendaftaran Merek Internasional;;;;;;
KI 06.19;Substantif;Statement of Grant Protection;;;;;;
KI 06.20;Substantif;Provisional Refusal;;;;;;
KI 06.21;Substantif;Statement of Grant Protection Following Provisional Refusal;;;;;;
KI 06.22;Substantif;Final Refusal;;;;;;
KI 06.23;Substantif;Notifikasi Transformasi;;;;;;
KI 06.24;Substantif;Notifikasi Penggantian;;;;;;
KI 07.01;Substantif;Proses Penyelesaian Permohonan Pendaftaran;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 07.01.01;Substantif;Pemeriksaan Administrasi/Formalitas;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 07.01.02;Substantif;Perbaikan Data Permohonan;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 07.01.03;Substantif;Publikasi/Pengumuman/Berita Resmi Merek;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 07.01.04;Substantif;Keberatan/Oposisi;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 07.01.05;Substantif;Penarikan Kembali;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 07.01.06;Substantif;Pemeriksaan Substantif;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 07.01.07;Substantif;Pemberitahuan Usul Penolakan;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 07.01.08;Substantif;Pemberitahuan Penolakan Definitif;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 07.01.09;Substantif;Ralat/Perbaikan;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 07.01.10;Substantif;Pengalihan Hak;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 07.01.11;Substantif;Perubahan Nama dan Alamat;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 07.01.12;Substantif;Penghapusan;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 07.01.13;Substantif;Pembatalan;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 07.02;Substantif;Sertifikat/Kutipan;2;Tahun setelah masa perlindungan berakhir;3;;Permanen;
KI 07.03;Substantif;Keterangan Status Permohonan Pendaftaran;1;;1;;Musnah;
KI 07.04;Substantif;Permohonan Petikan Resmi;1;;1;;Musnah;
KI 07.05;Substantif;Pengawasan Indikasi Geografis Terdaftar;3;;3;;Musnah;
KI 07.06;Substantif;Keterangan Tertulis Indikasi Geografis;1;;1;;Musnah;
KI 07.07;Substantif;Pemakai Indikasi Geografis Terdaftar;2;"Tahun setelah
masa
perlindungan
berakhir
";3;;Musnah;
KI 07.08;Substantif;Pertimbangan/Rekomendasi Tim Ahli Indikasi Geografis;2;"Tahun setelah
masa
perlindungan
berakhir
";3;;Permanen;
KI 08.01;Substantif;Pemberkasan;2;;3;;Musnah;
KI 08.01.01;Substantif;Laporan Kejadian/Pengaduan;2;;3;;Musnah;
KI 08.01.02;Substantif;Surat Perintah Tugas;2;;3;;Musnah;
KI 08.01.03;Substantif;Surat Perintah Penyidikan;2;;3;;Musnah;
KI 08.01.04;Substantif;Surat Perintah Penyitaan;2;;3;;Musnah;
KI 08.01.05;Substantif;Surat Perintah Penggeledahan;2;;3;;Musnah;
KI 08.01.06;Substantif;"Surat Pemberitahuan Dimulainya Penyidikan
(SPDP)
";2;;3;;Musnah;
KI 08.01.07;Substantif;Surat Panggilan;2;;3;;Musnah;
KI 08.01.08;Substantif;Surat Permintaan Ahli;2;;3;;Musnah;
KI 08.01.09;Substantif;"Surat Permintaan Bantuan Penggeledahan/
Penyitaan
";2;;3;;Musnah;
KI 08.01.10;Substantif;Surat Tanda Penerimaan Barang Bukti;2;;3;;Musnah;
KI 08.01.11;Substantif;Surat Pengembalian Barang Bukti;2;;3;;Musnah;
KI 08.01.12;Substantif;"Surat Penetapan (Khusus/Persetujuan) Penyitaan
Kepada Ketua Pengadilan
";2;;3;;Musnah;
KI 08.01.13;Substantif;"Surat Penetapan (Khusus/Persetujuan)
Penggeledahan Kepada Ketua Pengadilan
";2;;3;;Musnah;
KI 08.01.14;Substantif;Surat Pengiriman Berkas Perkara;2;;3;;Musnah;
KI 08.01.15;Substantif;Surat Pengiriman Tersangka dan Barang Bukti;2;;3;;Musnah;
KI 08.01.16;Substantif;Surat Tanda Terima Laporan;2;;3;;Musnah;
KI 08.01.17;Substantif;"Surat Permohonan Koordinasi (POLRI dan Kanwil)
";2;;3;;Musnah;
KI 08.01.18;Substantif;Surat SP3;2;;3;;Musnah;
KI 08.01.19;Substantif;Surat Ketetapan tentang Penghentian Penyidikan;2;;3;;Musnah;
KI 08.01.20;Substantif;Surat Permohonan Ijin Khusus Pemusnahan BB;2;;3;;Musnah;
KI 08.01.21;Substantif;Surat Perintah Pengambilan Barang Sitaan;2;;3;;Musnah;
KI 08.01.22;Substantif;"Surat Pemberitahuan perkembangan Hasil
Penyidikan Perkara (SP2HP)
";2;;3;;Musnah;
KI 08.01.23;Substantif;Surat Perintah Penyegelan;2;;3;;Musnah;
KI 08.01.24;Substantif;Surat Tugas Pengawasan dan Pengamatan (WASMAT);2;;3;;Musnah;
KI 08.01.25;Substantif;Surat Pemberitahuan Penghentian Penyidikan;2;;3;;Musnah;
KI 08.01.26;Substantif;Surat Undangan Wawancara;2;;3;;Musnah;
KI 08.01.27;Substantif;"Surat Perintah Penghentian Pengawasan dan
Pengamatan
";2;;3;;Musnah;
KI 08.01.28;Substantif;Surat Penutupan Situs;2;;3;;Musnah;
KI 08.01.29;Substantif;"Surat Perintah Penitipan Barang/Titip Rawat
Barang Bukti
";2;;3;;Musnah;
KI 08.01.30;Substantif;Gelar Perkara Naik Status Saksi Jadi Tersangka;2;;3;;Musnah;
KI 08.01.31;Substantif;Surat Pemberitahuan Hasil Wasmat/Penyelidikan;2;;3;;Musnah;
KI 08.02;Substantif;"Pemantauan
- Surat Perintah Tugas
";1;;2;;Musnah;
KI 08.03;Substantif;"Pencegahan dan Penyelesaian Sengketa Alternatif :
- Surat Perintah Tugas
- Surat Panggilan
- Berita Acara Mediasi
";1;;2;;Permanen;
KI 08.04;Substantif;Seleksi Administrasi Calon PPNS Kekayaan Intelektual;2;Tahun setelah pengangkatan;3;;Musnah;
KI 08.05;Substantif;Pengangkatan PPNS Kekayaan Intelektual;2;Tahun setelah pengangkatan;3;;Musnah;
KI 08.06;Substantif;Pengangkatan Kembali PPNS Kekayaan Intelektual;2;Tahun setelah pengangkatan;3;;Musnah;
KI 08.07;Substantif;Pelantikan PPNS Kekayaan Intelektual;2;Tahun setelah pengangkatan;3;;Musnah;
KI 08.08;Substantif;Mutasi PPNS Kekayaan Intelektual;2;Tahun setelah pengangkatan;3;;Musnah;
KI 08.09;Substantif;"Pemberhentian PPNS Non Teknis Operasional Kekayaan
Intelektual
";2;Tahun setelah pengangkatan;3;;Musnah;
KI 08.10;Substantif;"Pemberhentian PPNS Atas Permintaan Sendiri Kekayaan
Intelektual
";2;Tahun setelah pengangkatan;3;;Musnah;
KI 08.11;Substantif;Perpanjangan Kartu Tanda Penyidik Kekayaan Intelektual;2;Tahun setelah pengangkatan;3;;Musnah;
KI 08.12;Substantif;"Penerbitan Kartu Tanda Penyidik yang Hilang/Rusak PPNS
Kekayaan Intelektual
";2;Tahun setelah pengangkatan;3;;Musnah;
KI 09.01;Substantif;Konsultan Kekayaan Intelektual;2;;2;;Permanen;
KI 09.02;Substantif;"Inventarisasi Kekayaan Intelektual Komunal (KIK): 
- Permohonan Pencatatatan KIK
- Formulir Kekayaan Intelektual Komunal
- Kelengkapan Administrasi
- Surat Pemberitahuan Kekurangan Kelengkapan
- Permohonan Data Dukung
- Pengusulan Penetapan Hasil Inventarisasi
- Tanda Terima Surat Penyerahan
- Surat Pencatatan KIK/Sertifikat KIK
";;;;;;
KI 09.03;Substantif;Pendampingan Inventarisasi KIK;;;;;;
KI 09.04;Substantif;Studi Lapangan;;;;;;
