kode_klasifikasi;jenis_klasifikasi;jenis_arsip;waktu_aktif_num;waktu_aktif_ket;waktu_inaktif_num;waktu_inaktif_ket;nasib_akhir;nasib_akhir_ket
AH 12.04;Substantif;"Surat Rekomendasi Penanganan Ekstradisi dan Pemindahan
Narapidana
";;;;;;
AH 12.05;Substantif;Hukum Ekonomi dan Lembaga Internasional;5;;2;;Permanen;
AH 12.06;Substantif;Hukum Perdata Internasional;5;;2;;Permanen;
AH 12.07;Substantif;Hukum Laut, Udara, Angkasa dan Lingkungan;3;;2;;Permanen;
AH 12.08;Substantif;Hukum Humaniter;5;;2;;Permanen;
AH 12.09;Substantif;Produk yang diterbitkan Atase Hukum;;;;;;
AH 13.01;Substantif;Perencanaan dan Pengembangan Teknologi Informasi;2;;3;;Musnah;
AH 13.02;Substantif;Pembangunan Aplikasi;2;Tahun setelah ditetapkan;3;;Musnah;kecuali penetapan Permanen msunah
AH 13.03;Substantif;Implementasi dan Perubahan Sistem Teknologi Informasi;2;Tahun setelah diperbaharui;3;;Musnah;kecuali penetapan Permanen msunah
AH 13.04;Substantif;Layanan Sistem Teknologi Informasi;1;;4;;Musnah;
AH 13.05;Substantif;"Pengelolaan dan Pemeliharaan Perangkat Keras dan
Perangkat Lunak
";3;;2;;Musnah;
AH 13.06;Substantif;Monitoring dan Evaluasi ;1;Tahun setelah kegiatan;2;;Musnah;
PK 01.01;Substantif;"Registrasi Tahanan : Naskah-naskah yang berkaitan dengan kegiatan : a. pemeriksaan kelengkapan dokumen serta berkas Tahanan yang diberikan oleh Kejaksaan dan Kepolisian.
b. pencatatan penerimaan Tahanan di Rutan yang terdiri dari pembuatan surat perintah atau surat penetapan tahanan, pembuatan biodata diri, data barang bawaan Tahanan.
c. Pemeriksaan kesehatan
d. pembuatan pas photo
e. pembuatan sidik jari/dokumentasi sidik jari
f. pembuatan berita acara serah terima tahanan
";2;;3;;Musnah;
PK 01.02;Substantif;"Registrasi Narapidana : 
Naskah-naskah yang berkaitan dengan kegiatan pendataan Narapidana yang baru masuk ke Lapas:
a. pemeriksaan kelengkapan dokumen serta berkas Narapidana yang diberikan oleh Kejaksaan, Kepolisian, Pengadilan, dan Rutan.
b. pencatatan penerimaan Narapidana di Lapas yang terdiri dari pembuatan surat perintah atau surat penetapan Narapidana, pembuatan biodata diri, data barang bawaan Narapidana
c. pemeriksaan kesehatan
d. pembuatan pas photo
e. pembuatan sidik jari/dokumentasi sidik jari
f. pembuatan berita acara serah terima Narapidana
";2;;3;;Musnah;
PK 01.03;Substantif;"Registrasi Anak : Naskah-naskah yang berkaitan dengan kegiatan Pendataan Anak/Anak Binaan:
a. pemeriksaan kelengkapan dokumen serta berkas Anak/Anak Binaan
b. pencatatan penerimaan Anak/Anak Binaan
c. pemeriksaan kesehatan
d. pembuatan pas photo
e. pembuatan sidik jari/dokumentasi sidik jari
f. pembuatan berita acara serah terima Anak/Anak Binaan
";2;;3;;Musnah;
